#wl     HI_0   HI_1
1134.615  0.9988  0.9995
1134.674  0.9982  0.9991
1134.734  0.9980  0.9991
1134.794  0.9980  0.9990
1134.854  0.9979  0.9990
1134.914  0.9979  0.9990
1134.973  0.9979  0.9990
1135.033  0.9979  0.9990
1135.093  0.9979  0.9990
1135.153  0.9979  0.9990
1135.213  0.9979  0.9990
1135.272  0.9979  0.9990
1135.332  0.9979  0.9990
1135.392  0.9979  0.9990
1135.452  0.9979  0.9990
1135.512  0.9979  0.9990
1135.572  0.9979  0.9990
1135.631  0.9979  0.9990
1135.691  0.9979  0.9990
1135.751  0.9978  0.9990
1135.811  0.9978  0.9990
1135.871  0.9978  0.9990
1135.931  0.9978  0.9990
1135.990  0.9978  0.9990
1136.050  0.9978  0.9990
1136.110  0.9978  0.9990
1136.170  0.9978  0.9990
1136.230  0.9978  0.9990
1136.289  0.9978  0.9990
1136.349  0.9978  0.9990
1136.409  0.9978  0.9990
1136.469  0.9978  0.9990
1136.529  0.9978  0.9990
1136.589  0.9978  0.9990
1136.648  0.9978  0.9990
1136.708  0.9978  0.9990
1136.768  0.9978  0.9990
1136.828  0.9978  0.9990
1136.888  0.9978  0.9990
1136.948  0.9978  0.9990
1137.007  0.9978  0.9990
1137.067  0.9978  0.9990
1137.127  0.9978  0.9990
1137.187  0.9978  0.9990
1137.247  0.9978  0.9990
1137.306  0.9978  0.9990
1137.366  0.9978  0.9989
1137.426  0.9977  0.9989
1137.486  0.9977  0.9989
1137.546  0.9977  0.9989
1137.605  0.9977  0.9989
1137.665  0.9977  0.9989
1137.725  0.9977  0.9989
1137.785  0.9977  0.9989
1137.845  0.9977  0.9989
1137.905  0.9977  0.9989
1137.964  0.9977  0.9989
1138.024  0.9977  0.9989
1138.084  0.9977  0.9989
1138.144  0.9977  0.9989
1138.204  0.9977  0.9989
1138.264  0.9977  0.9989
1138.323  0.9977  0.9989
1138.383  0.9977  0.9989
1138.443  0.9977  0.9989
1138.503  0.9977  0.9989
1138.563  0.9977  0.9989
1138.622  0.9977  0.9989
1138.682  0.9977  0.9989
1138.742  0.9977  0.9989
1138.802  0.9977  0.9989
1138.862  0.9977  0.9989
1138.922  0.9977  0.9989
1138.981  0.9976  0.9989
1139.041  0.9976  0.9989
1139.101  0.9976  0.9989
1139.161  0.9976  0.9989
1139.221  0.9976  0.9989
1139.280  0.9976  0.9989
1139.340  0.9976  0.9989
1139.400  0.9976  0.9989
1139.460  0.9976  0.9989
1139.520  0.9976  0.9989
1139.580  0.9976  0.9989
1139.639  0.9976  0.9989
1139.699  0.9976  0.9989
1139.759  0.9976  0.9989
1139.819  0.9976  0.9989
1139.879  0.9976  0.9989
1139.938  0.9976  0.9989
1139.998  0.9976  0.9989
1140.058  0.9976  0.9989
1140.118  0.9976  0.9989
1140.178  0.9976  0.9989
1140.238  0.9976  0.9989
1140.297  0.9976  0.9989
1140.357  0.9976  0.9989
1140.417  0.9976  0.9989
1140.477  0.9975  0.9989
1140.537  0.9975  0.9989
1140.596  0.9975  0.9989
1140.656  0.9975  0.9989
1140.716  0.9975  0.9988
1140.776  0.9975  0.9988
1140.836  0.9975  0.9988
1140.896  0.9975  0.9988
1140.955  0.9975  0.9988
1141.015  0.9975  0.9988
1141.075  0.9975  0.9988
1141.135  0.9975  0.9988
1141.195  0.9975  0.9988
1141.255  0.9975  0.9988
1141.314  0.9975  0.9988
1141.374  0.9975  0.9988
1141.434  0.9975  0.9988
1141.494  0.9975  0.9988
1141.554  0.9975  0.9988
1141.613  0.9975  0.9988
1141.673  0.9975  0.9988
1141.733  0.9975  0.9988
1141.793  0.9975  0.9988
1141.853  0.9974  0.9988
1141.912  0.9974  0.9988
1141.972  0.9974  0.9988
1142.032  0.9974  0.9988
1142.092  0.9974  0.9988
1142.152  0.9974  0.9988
1142.212  0.9974  0.9988
1142.271  0.9974  0.9988
1142.331  0.9974  0.9988
1142.391  0.9974  0.9988
1142.451  0.9974  0.9988
1142.511  0.9974  0.9988
1142.571  0.9974  0.9988
1142.630  0.9974  0.9988
1142.690  0.9974  0.9988
1142.750  0.9974  0.9988
1142.810  0.9974  0.9988
1142.870  0.9974  0.9988
1142.929  0.9974  0.9988
1142.989  0.9974  0.9988
1143.049  0.9974  0.9988
1143.109  0.9974  0.9988
1143.169  0.9974  0.9988
1143.229  0.9973  0.9988
1143.288  0.9973  0.9988
1143.348  0.9973  0.9988
1143.408  0.9973  0.9988
1143.468  0.9973  0.9988
1143.528  0.9973  0.9988
1143.588  0.9973  0.9988
1143.647  0.9973  0.9987
1143.707  0.9973  0.9987
1143.767  0.9973  0.9987
1143.827  0.9973  0.9987
1143.887  0.9973  0.9987
1143.946  0.9973  0.9987
1144.006  0.9973  0.9987
1144.066  0.9973  0.9987
1144.126  0.9973  0.9987
1144.186  0.9973  0.9987
1144.245  0.9973  0.9987
1144.305  0.9973  0.9987
1144.365  0.9973  0.9987
1144.425  0.9972  0.9987
1144.485  0.9972  0.9987
1144.545  0.9972  0.9987
1144.604  0.9972  0.9987
1144.664  0.9972  0.9987
1144.724  0.9972  0.9987
1144.784  0.9972  0.9987
1144.844  0.9972  0.9987
1144.904  0.9972  0.9987
1144.963  0.9972  0.9987
1145.023  0.9972  0.9987
1145.083  0.9972  0.9987
1145.143  0.9972  0.9987
1145.203  0.9972  0.9987
1145.262  0.9972  0.9987
1145.322  0.9972  0.9987
1145.382  0.9972  0.9987
1145.442  0.9972  0.9987
1145.502  0.9972  0.9987
1145.562  0.9972  0.9987
1145.621  0.9971  0.9987
1145.681  0.9971  0.9987
1145.741  0.9971  0.9987
1145.801  0.9971  0.9987
1145.861  0.9971  0.9987
1145.921  0.9971  0.9987
1145.980  0.9971  0.9987
1146.040  0.9971  0.9987
1146.100  0.9971  0.9987
1146.160  0.9971  0.9987
1146.220  0.9971  0.9987
1146.279  0.9971  0.9986
1146.339  0.9971  0.9986
1146.399  0.9971  0.9986
1146.459  0.9971  0.9986
1146.519  0.9971  0.9986
1146.578  0.9971  0.9986
1146.638  0.9971  0.9986
1146.698  0.9971  0.9986
1146.758  0.9970  0.9986
1146.818  0.9970  0.9986
1146.878  0.9970  0.9986
1146.937  0.9970  0.9986
1146.997  0.9970  0.9986
1147.057  0.9970  0.9986
1147.117  0.9970  0.9986
1147.177  0.9970  0.9986
1147.237  0.9970  0.9986
1147.296  0.9970  0.9986
1147.356  0.9970  0.9986
1147.416  0.9970  0.9986
